#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
# |mag|mag| | | | |arcsec| |10-7W|mag|Lsun/Msun|Lsun/Msun|Msun|Msun| | | |Mpc| |
#----------------------|-----|-----|-----------------------|---------|-----|----|-----|------|---------|-----|------|------|---------|---------|------|------|------|---------|------|----
IC2217                |11.56| 0.12|Sersic+exDisk          |Sersic   |bulge| 4.0|  8.1| 0.969| 1.48e+43| 2.48| 0.897| 0.720| 2.67e+10| 4.51e+10|GALFIT| 0.473| 0.125| 7.61e+07|HII   |13.2
IC2217                |11.44| 0.07|Sersic+exDisk          |exDisk   |disk |    |  5.9| 0.969| 1.65e+43| 1.58| 0.743| 0.720| 2.47e+10| 4.51e+10|GALFIT| 0.473| 0.125| 7.61e+07|HII   |13.2
NGC2500               | 8.51| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.8| 89.1| 0.980| 9.63e+42| 1.50| 0.730| 0.784| 1.41e+10| 1.52e+10|GALFIT| 0.001| 0.001| 1.50e+07|LINER | 4.2
NGC2500               |16.07| 0.13|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.980| 9.12e+39| 4.64| 1.410| 0.784| 2.59e+07| 1.52e+10|GALFIT| 0.001| 0.001| 1.50e+07|LINER | 4.2
NGC2512               | 9.92| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.5| 14.0| 0.962| 5.51e+43| 2.11| 0.830| 0.849| 9.20e+10| 1.03e+11|GALFIT| 0.089| 0.009| 6.93e+07|HII   | 7.4
NGC2512               |12.45| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.962| 5.36e+42| 1.51| 0.732| 0.849| 7.89e+09| 1.03e+11|GALFIT| 0.089| 0.009| 6.93e+07|HII   | 7.4
MCG6-18-009           |10.49| 0.04|Sersic                 |Sersic   |mixed| 5.6|  8.8| 0.924| 1.76e+44|     |      | 0.788|         | 2.79e+11|C->B/T| 0.204| 0.054| 1.64e+08|HII   | 1.5
MK1212                |11.57| 0.04|Sersic                 |Sersic   |mixed| 4.1|  2.1| 0.928| 7.27e+43|     |      | 0.774|         | 1.13e+11|C->B/T| 0.184| 0.049| 1.73e+08|HII   | 7.4
IRAS08072+1847        |12.58| 0.06|Sersic+psfAgn          |Sersic   |disk | 2.0|  1.7| 0.957| 4.94e+42| 2.59| 0.918| 0.935| 9.12e+09| 1.31e+10|GALFIT| 0.290| 0.077| 7.08e+07|SN    | 8.1
IRAS08072+1847        |13.55| 0.10|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.957| 2.02e+42| 1.68| 0.758| 0.935| 3.08e+09| 1.31e+10|GALFIT| 0.290| 0.077| 7.08e+07|SN    | 8.1
NGC2532               | 9.85| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2| 18.8| 0.959| 7.35e+43| 2.04| 0.818| 0.913| 1.21e+11| 1.47e+11|GALFIT| 0.077| 0.009| 7.76e+07|HII   | 5.0
NGC2532               |12.55| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.959| 6.11e+42| 2.06| 0.821| 0.913| 1.01e+10| 1.47e+11|GALFIT| 0.077| 0.009| 7.76e+07|HII   | 5.0
NGC2535               |10.06| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2| 23.8| 0.979| 3.90e+43| 1.70| 0.762| 0.854| 5.98e+10| 7.14e+10|GALFIT| 0.065| 0.006| 6.16e+07|HII   | 5.5
NGC2535               |12.96| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.979| 2.70e+42| 2.36| 0.875| 0.854| 4.75e+09| 7.14e+10|GALFIT| 0.065| 0.006| 6.16e+07|HII   | 5.5
NGC2543               | 9.04| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.5| 43.1| 0.982| 1.82e+43| 2.42| 0.886| 0.914| 3.24e+10| 3.51e+10|GALFIT| 0.043| 0.010| 2.63e+07|HII   |12.1
