PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
4689212,SAGITTARIUS_DWARF_SPHEROIDAL,140.0,121.9000015258789,17.136,0.157,0.0268,0.00194
4713562,BOOTES3,197.5,407.3999938964844,18.31,0.09,,
4713556,SDSSJ1049+5103,-12.3,190.78704891689435,18.41,,0.0480839,
17223,ESO056-115,284.2,-28.502654178446576,18.4913,0.0843908,0.0499178,0.00193998
3085,NGC0292,161.8,-120.90238615297727,18.9444,0.0594045,0.0614999,0.00168244
60095,UGC10822,-295.6,19.75383461124821,19.4187,0.088554,0.0765147,0.00312032
3589,ESO351-030,109.4,-97.4587672359209,19.6105,0.129445,0.0835784,0.00498224
88608,PGC088608,225.8,174.1746807156176,19.7546,0.143129,0.0893125,0.0058869
10074,ESO356-004,32.5,-219.56616702837135,20.8176,0.0443686,0.145721,0.00297745
4713561,LEO4,132.3,137.80719957253564,20.9196,0.0771188,0.15273,0.00542415
4713563,LEO5,173.3,190.95573767460402,21.2039,0.122112,0.174089,0.00978981
34176,UGC06253,85.9,186.25562146949727,21.7889,0.161741,0.227914,0.016976
29488,UGC05470,282.4,295.9770730921812,22.0465,0.159618,0.256631,0.0188641
4713564,LEOT,38.0,55.272525369307374,23.0717,0.123445,0.411465,0.0233912
6830,ESO245-007,-52.0,-312.1273122608766,23.0798,0.125885,0.413006,0.0239429
63616,NGC6822,-56.0,-9.168299381377281,23.1912,0.45637,0.434754,0.0913705
5056927,ANDROMEDA16,-367.3,-271.79899246710477,23.7657,0.147717,0.566415,0.038531
5072713,AGC198606,51.2,61.599998474121094,23.96,,0.619441,
4601,[RC2]A0113+33,-192.4,-100.27506471257095,24.0315,0.0570644,0.640185,0.0168235
2329,NGC0185,-203.6,-29.69682715496208,24.0768,0.0811729,0.653671,0.0244352
5056921,ANDROMEDA10,-163.9,-15.878909823258326,24.0807,0.12878,0.654858,0.0388367
3792,PGC003792,-284.4,-241.76987250691764,24.1676,0.213763,0.681577,0.0670956
5056923,ANDROMEDA11,-461.8,-353.03026105255947,24.3053,0.133112,0.726221,0.0445176
3844,IC1613,-231.6,-287.44154678044447,24.3299,0.0895693,0.73449,0.0302964
5057226,ANDROMEDA23,-237.7,-126.59454039679558,24.3386,0.0538601,0.737431,0.0182909
2666,PGC002666,-375.9,-247.79833936539765,24.3422,0.0736757,0.738647,0.0250615
2121,PGC002121,-345.0,-218.67338177026616,24.3604,0.107494,0.744858,0.0368727
1305,IC0010,-344.6,-125.65459128669978,24.3686,0.160549,0.747688,0.0552806
4608690,ANDROMEDA17,-251.6,-92.88051604244836,24.3755,0.101265,0.750071,0.0349792
5056922,ANDROMEDA14,-480.9,-393.9215264775145,24.386,0.427436,0.753699,0.148359
3097691,PGC3097691,-83.9,-178.83058593955343,24.4024,0.115862,0.759413,0.0405197
2004,NGC0147,-193.1,-16.155655711724066,24.4122,0.0783001,0.762861,0.0275076
2557,NGC0224,-290.0,-146.52945179592086,24.4386,0.138404,0.772187,0.0492171
2555,NGC0221,-199.7,-57.93001392183436,24.4424,0.146297,0.773524,0.0521141
5060429,ANDROMEDA28,-331.1,-160.38568276316872,24.4437,0.098791,0.774001,0.0352131
5056926,ANDROMEDA15,-323.0,-207.98714186153714,24.4488,0.134951,0.775822,0.0482152
2807155,PGC2807155,-307.4,-94.99612814964054,24.473,0.14511,0.784523,0.0524261
5057228,ANDROMEDA25,-107.8,64.05685158213119,24.54,0.186467,0.809083,0.069477
5060430,ANDROMEDA29,-194.4,-73.90917505565687,24.547,0.166266,0.811706,0.0621509
5057230,ANDROMEDA27,-539.6,-376.71168219534906,24.5705,0.239837,0.820552,0.0906291
5057231,ANDROMEDA21,-361.4,-190.38212356781887,24.5756,0.12798,0.822464,0.0484737
28868,UGC05364,23.9,120.93014952765604,24.5771,0.11318,0.823042,0.0428982
5056925,ANDROMEDA13,-185.4,-83.1023264004034,24.5852,0.118378,0.826116,0.0450359
5818,NGC0598,-182.3,-111.85473654624047,24.6491,0.1645,0.850796,0.064452
5057232,ANDROMEDA22,-129.3,-68.50329419937873,24.6558,0.1005,0.853412,0.0394977
5056924,ANDROMEDA12,-558.4,-447.5911404732782,24.6719,0.207544,0.859772,0.0821749
2429,NGC0205,-241.3,-94.97086767450263,24.6862,0.121894,0.865454,0.0485816
5056919,ANDROMEDA19,-111.6,16.512305270618242,24.7337,0.252802,0.884588,0.102983
69519,PGC069519,194.0,-45.52255551744227,24.7701,0.0814122,0.899519,0.0337245
143,PGC000143,-111.2,-211.2745331172378,24.9469,0.113311,0.975834,0.0509206
65367,PGC065367,-139.5,-109.88307981569098,25.0221,0.135058,1.01021,0.0628315
71538,UGC12613,-181.4,-115.77826533160268,25.0945,0.251492,1.04447,0.120967
63287,ESO594-004,-78.7,-41.70444554422145,25.1588,0.129334,1.07586,0.064079
5056918,ANDROMEDA18,-332.1,-154.62262256981847,25.5285,0.14657,1.27558,0.086099
29128,NGC3109,403.1,235.76286867070553,25.5544,0.101845,1.29085,0.0605425
